2013,4.17,184873,42093,8222,772,4661,14640,1536
2012,4.32,184209,42063,8261,927,4934,14709,1494
2011,4.28,185245,42267,8399,898,4552,15018,1554
2010,4.38,185553,42554,8486,866,4613,15778,1549
2009,4.61,187079,43524,8737,949,5042,16620,1590
2008,4.65,187631,43972,9014,886,4878,16337,1672
2007,4.8,188623,44977,9197,938,4957,16079,1755
2006,4.86,188071,45073,9135,952,5386,15847,1817
2005,4.59,186292,43991,8863,888,5017,15207,1797
2004,4.81,188539,44522,8919,898,5451,16222,1850
2003,4.73,187449,44057,8827,934,5207,15889,1849
2002,4.62,186615,43272,8700,921,5059,16246,1746
2001,4.78,186976,43879,8813,928,5458,15806,1890
2000,5.14,190261,45246,8901,952,5693,18237,1573
1999,5.08,189692,45327,8740,931,5528,17891,1579
1998,4.79,188280,44489,8741,899,5064,16447,1587
1997,4.77,175541,41471,8004,883,4640,15666,1449
1996,5.04,177261,42320,7987,855,4962,16093,1404
1995,4.85,156703,36975,6958,824,4081,14240,1219
1994,4.92,124483,29743,5723,702,3306,11131,876
1993,4.6,174564,41088,7449,940,4030,15110,1200
1992,4.12,160545,36544,6563,845,3038,13682,980
1991,4.31,160746,36558,6499,894,3383,13984,905
1990,4.26,160316,36817,6526,865,3317,13852,861
1989,4.13,160033,36293,6307,868,3083,13528,801
1988,4.14,159380,36244,6386,840,3180,12984,918
1987,4.72,161922,37895,6793,896,4458,14389,842
1986,4.41,160858,36880,6511,855,3813,14227,812
1985,4.33,160320,36778,6423,965,3602,13838,699
1984,4.26,160566,37381,6213,985,3258,13320,668
1983,4.31,160615,37443,6463,1033,3301,13518,717
1982,4.3,161104,37651,6316,964,3379,13302,677
1981,4,105892,24157,4000,659,1781,8868,464
1980,4.29,161210,38144,6345,1076,3087,13190,657
1979,4.46,160378,37911,6415,1066,3433,13601,754
1978,4.1,159192,36508,6186,1020,2956,13566,772
1977,4.47,161547,38037,6441,1170,3644,13757,791
1976,3.99,147598,33598,5240,966,2235,12391,684
1975,4.21,148621,33863,5443,887,2698,13402,761
1974,4.12,148855,33969,5206,847,2649,12963,774
1973,4.21,148794,34010,5224,790,3102,13100,755
1972,3.69,139968,30434,4652,746,2534,11727,751
1971,3.89,146705,32547,4931,808,2863,12536,821
1970,4.34,149332,33555,5235,927,3429,13727,825
1969,4.07,148201,32581,4840,849,3119,13429,882
1968,3.42,120827,25710,3869,697,1995,9156,778
1967,3.77,121848,26464,4082,792,2299,9665,751
1966,3.99,121692,27207,4120,820,2743,9331,682
1965,3.99,122765,26952,4199,787,2688,10036,720
1964,4.04,122997,27669,4270,760,2762,9621,694
1963,3.95,122361,27043,4098,791,2704,9591,714
1962,4.46,124554,28521,4313,853,3001,10936,709
1961,4.53,109571,25066,3975,754,2730,9897,573
1960,4.31,94784,21434,3442,658,2128,8384,488
1959,4.38,94725,21636,3478,591,2250,8184,496
1958,4.28,94151,21621,3392,655,2240,8127,499
1957,4.31,95396,21865,3396,672,2202,8167,511
1956,4.45,95240,21653,3339,725,2294,8997,481
1955,4.48,95031,21610,3251,700,2224,9044,506
1954,4.38,95540,21908,3455,789,1937,9032,441
1953,4.61,95423,22459,3593,745,2076,8682,487
1952,4.18,94829,21272,3388,677,1701,8777,482
1951,4.55,96017,22191,3582,716,1863,9244,449
1950,4.85,96476,22559,3714,793,2073,9955,436
1949,4.61,96207,22168,3602,761,1704,10027,375
1948,4.58,95820,22234,3686,834,1555,9623,342
1947,4.36,95384,22003,3568,804,1565,9217,317
1946,4.01,95092,21555,3579,783,1215,8800,316
1945,4.18,94802,21977,3497,728,1007,8299,361
1944,4.17,95664,22307,3653,808,1034,7930,349
1943,3.91,95108,21467,3467,757,905,8361,327
1942,4.08,93961,21176,3477,723,1071,8393,339
1941,4.49,96493,22531,3958,867,1331,8886,312
1940,4.68,95911,23002,4101,929,1571,8273,358
1939,4.82,95916,23371,4139,916,1445,8478,353
1938,4.89,95364,23293,4046,935,1475,8632,348
1937,4.87,96158,23769,4216,997,1430,8443,322
1936,5.19,97893,24863,4471,979,1364,8418,413
1935,4.9,96206,24074,4265,987,1325,7834,382
1934,4.91,95569,23962,4314,882,1344,7855,342
1933,4.48,94646,22969,3945,967,1067,7344,351
1932,4.91,96596,24106,4579,1072,1358,7549,367
1931,4.81,96127,24046,4508,1070,1069,7679,381
1930,5.55,97258,25597,4756,1282,1565,7654,408
1929,5.19,96359,24642,4482,1166,1349,7992,407
1928,4.73,95643,23736,4223,1138,1093,7668,454
1927,4.75,95597,23960,4148,1150,922,7447,480
1926,4.64,95174,23505,4142,1157,863,7703,484
1925,5.13,96277,24914,4337,1171,1169,7744,495
1924,4.76,95391,24271,4081,1175,896,7364,553
1923,4.81,96254,24218,3922,1142,980,7563,605
1922,4.87,96217,24613,3944,1248,1055,7253,598
1921,4.85,95658,24782,3981,1364,937,6847,551
1920,4.36,94704,23275,3609,1265,630,6820,561